train_start,train_end,validation_start,validation_end,test_date,prediction,actual,mae
2025-05-06 16:15:00,2025-05-19 06:15:00,2025-05-19 06:30:00,2025-05-21 19:15:00,2025-05-21 19:30:00,0.002229274483397603,0.0022820106241852045,5.273614078760147e-05
2025-05-06 16:30:00,2025-05-19 06:30:00,2025-05-19 06:45:00,2025-05-21 19:30:00,2025-05-21 19:45:00,0.0023837380576878786,0.0014059578534215689,0.0009777802042663097
2025-05-06 16:45:00,2025-05-19 06:45:00,2025-05-19 07:00:00,2025-05-21 19:45:00,2025-05-21 20:00:00,0.0020564780570566654,0.0012686062837019563,0.0007878717733547091
2025-05-06 17:00:00,2025-05-19 07:00:00,2025-05-19 07:15:00,2025-05-21 20:00:00,2025-05-22 04:00:00,0.0017406835686415434,0.001321384683251381,0.00041929888539016247
2025-05-06 17:15:00,2025-05-19 07:15:00,2025-05-19 07:30:00,2025-05-22 04:00:00,2025-05-22 04:15:00,0.001496581477113068,0.0013063957449048758,0.00019018573220819235
2025-05-06 17:30:00,2025-05-19 07:30:00,2025-05-19 07:45:00,2025-05-22 04:15:00,2025-05-22 04:30:00,0.0015747726429253817,0.0013073203153908253,0.0002674523275345564
2025-05-06 17:45:00,2025-05-19 07:45:00,2025-05-19 08:00:00,2025-05-22 04:30:00,2025-05-22 04:45:00,0.0012222268851473927,0.001293425913900137,7.11990287527442e-05
2025-05-06 18:00:00,2025-05-19 08:00:00,2025-05-19 08:15:00,2025-05-22 04:45:00,2025-05-22 05:00:00,0.0014175729593262076,0.0011439736699685454,0.0002735992893576622
2025-05-06 18:15:00,2025-05-19 08:15:00,2025-05-19 08:30:00,2025-05-22 05:00:00,2025-05-22 05:15:00,0.0013619454111903906,0.0011350971180945635,0.0002268482930958271
2025-05-06 18:30:00,2025-05-19 08:30:00,2025-05-19 08:45:00,2025-05-22 05:15:00,2025-05-22 05:30:00,0.0013319144491106272,0.0010524302488192916,0.0002794842002913356
2025-05-06 18:45:00,2025-05-19 08:45:00,2025-05-19 09:00:00,2025-05-22 05:30:00,2025-05-22 05:45:00,0.0010677286190912127,0.0007548289140686393,0.00031289970502257347
2025-05-06 19:00:00,2025-05-19 09:00:00,2025-05-19 09:15:00,2025-05-22 05:45:00,2025-05-22 06:00:00,0.0012082195607945323,0.0005658803274855018,0.0006423392333090305
